策略名称,总收益率(%),年化收益率(%),最大回撤(%),夏普比率,胜率(%),交易次数,period,multiplier
"SuperTrend(10,3.0)",84.73,14.22,24.24,0.5,47.37,19,7,2.4
"SuperTrend(10,3.0)",84.73,14.22,24.24,0.5,47.37,19,7,2.4
"SuperTrend(10,3.0)",71.67,12.42,25.63,0.419,47.37,19,6,2.4
"SuperTrend(10,3.0)",71.55,12.41,26.28,0.419,47.83,23,9,2.1
"SuperTrend(10,3.0)",71.55,12.41,26.28,0.419,47.83,23,9,2.1
"SuperTrend(10,3.0)",68.12,11.92,26.89,0.398,47.37,19,5,2.4
"SuperTrend(10,3.0)",67.14,11.77,28.04,0.401,52.94,17,7,2.7
"SuperTrend(10,3.0)",67.14,11.77,28.04,0.401,52.94,17,7,2.7
"SuperTrend(10,3.0)",66.48,11.68,28.04,0.398,52.94,17,9,2.7
"SuperTrend(10,3.0)",66.48,11.68,28.04,0.398,52.94,17,9,2.7
"SuperTrend(10,3.0)",65.09,11.47,20.37,0.389,57.14,14,10,3
"SuperTrend(10,3.0)",65.09,11.47,20.37,0.389,57.14,14,11,3
"SuperTrend(10,3.0)",61.31,10.92,20.37,0.361,57.14,14,9,3
"SuperTrend(10,3.0)",61.31,10.92,20.37,0.361,57.14,14,9,3
"SuperTrend(10,3.0)",61.16,10.89,28.21,0.364,44,25,14,2.1
"SuperTrend(10,3.0)",61.16,10.89,28.21,0.364,44,25,14,2.1
"SuperTrend(10,3.0)",60.06,10.73,23.57,0.363,55.56,18,14,2.7
"SuperTrend(10,3.0)",60.06,10.73,23.57,0.363,55.56,18,14,2.7
"SuperTrend(10,3.0)",57.77,10.38,28.21,0.338,44,25,12,2.1
"SuperTrend(10,3.0)",57.73,10.38,24.6,0.351,50,18,11,2.7
"SuperTrend(10,3.0)",57.73,10.38,24.6,0.351,50,18,12,2.7
"SuperTrend(10,3.0)",56.13,10.13,21.85,0.332,45,20,9,2.4
"SuperTrend(10,3.0)",56.13,10.13,21.85,0.332,45,20,9,2.4
"SuperTrend(10,3.0)",52.64,9.6,28.28,0.304,44,25,11,2.1
"SuperTrend(10,3.0)",52.14,9.52,26.85,0.296,38.71,31,14,1.8
"SuperTrend(10,3.0)",52.14,9.52,26.85,0.296,38.71,31,14,1.8
"SuperTrend(10,3.0)",49.91,9.17,25.66,0.285,47.62,21,10,2.4
"SuperTrend(10,3.0)",49.91,9.17,25.66,0.285,47.62,21,11,2.4
"SuperTrend(10,3.0)",48.73,8.98,29.38,0.278,44,25,10,2.1
"SuperTrend(10,3.0)",47.9,8.85,26.16,0.273,47.62,21,12,2.4
"SuperTrend(10,3.0)",46.39,8.61,24.82,0.273,50,18,10,2.7
"SuperTrend(10,3.0)",45.69,8.5,23.24,0.274,53.33,15,14,3
"SuperTrend(10,3.0)",45.69,8.5,23.24,0.274,53.33,15,14,3
"SuperTrend(10,3.0)",43.47,8.14,26.54,0.242,47.62,21,14,2.4
"SuperTrend(10,3.0)",43.47,8.14,26.54,0.242,47.62,21,14,2.4
"SuperTrend(10,3.0)",42.19,7.93,29.65,0.214,50,10,5,3.9
"SuperTrend(10,3.0)",41.78,7.86,27.85,0.224,37.5,32,12,1.8
"SuperTrend(10,3.0)",41.76,7.85,25.53,0.223,50,8,12,4.5
"SuperTrend(10,3.0)",38.95,7.39,20.37,0.217,53.33,15,12,3
"SuperTrend(10,3.0)",37.8,7.19,26.58,0.196,40,25,7,2.1
"SuperTrend(10,3.0)",37.8,7.19,26.58,0.196,40,25,7,2.1
"SuperTrend(10,3.0)",37.67,7.17,28.49,0.194,53.33,15,5,3
"SuperTrend(10,3.0)",37.63,7.17,24.14,0.2,50,14,12,3.3
"SuperTrend(10,3.0)",36.28,6.94,28.23,0.182,45.45,11,14,3.9
"SuperTrend(10,3.0)",36.28,6.94,28.23,0.182,45.45,11,14,3.9
"SuperTrend(10,3.0)",35.76,6.85,24.14,0.195,50,14,14,3.3
"SuperTrend(10,3.0)",35.76,6.85,24.14,0.195,50,14,14,3.3
"SuperTrend(10,3.0)",34.77,6.68,32.93,0.172,34.62,26,5,2.1
"SuperTrend(10,3.0)",34.13,6.57,29.06,0.168,53.33,15,7,3
"SuperTrend(10,3.0)",34.13,6.57,29.06,0.168,53.33,15,7,3
